"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2025-07-31T21:56:02.388Z,"Radio Station",N/A,"Pink Floyd - Another Brick In the Wall, Pt. 2",false,"United States",ra.1055200360,1067444770,voice_control,2025-07-31T21:56:02.388Z,NATURAL_END_OF_TRACK,2025-07-31T21:59:51.388Z,2025-07-31T21:59:51.388Z,2025-07-31T21:56:02.388Z,229000,229000,229000,AUDIO,0,1,0,229000
2025-07-31T21:52:25.843Z,"Radio Station",N/A,"The J. Geils Band - Centerfold",false,"United States",ra.1055200360,724071636,voice_control,2025-07-31T21:52:25.843Z,NATURAL_END_OF_TRACK,2025-07-31T21:56:02.843Z,2025-07-31T21:56:02.843Z,2025-07-31T21:52:25.843Z,217000,217000,217000,AUDIO,0,1,0,217000
2025-07-31T21:47:32.602Z,"Radio Station",N/A,"Michael Jackson - Billie Jean",false,"United States",ra.1055200360,269573364,voice_control,2025-07-31T21:47:32.602Z,NATURAL_END_OF_TRACK,2025-07-31T21:52:26.602Z,2025-07-31T21:52:26.602Z,2025-07-31T21:47:32.602Z,294000,294000,294000,AUDIO,0,1,0,294000
2025-07-31T21:42:47.443Z,"Radio Station",N/A,"Public Enemy - Fight the Power",false,"United States",ra.1055200360,1440838444,voice_control,2025-07-31T21:42:47.443Z,NATURAL_END_OF_TRACK,2025-07-31T21:47:32.443Z,2025-07-31T21:47:32.443Z,2025-07-31T21:42:47.443Z,285000,285000,285000,AUDIO,0,1,0,285000
2025-07-31T21:37:48.296Z,"Radio Station",N/A,"Kate Bush - Running Up That Hill (A Deal With God)",false,"United States",ra.1055200360,1675375090,voice_control,2025-07-31T21:37:48.296Z,NATURAL_END_OF_TRACK,2025-07-31T21:42:47.296Z,2025-07-31T21:42:47.296Z,2025-07-31T21:37:48.296Z,299000,299000,299000,AUDIO,0,1,0,299000
2025-07-31T21:34:06.029Z,"Radio Station",N/A,"Men At Work - Down Under",false,"United States",ra.1055200360,282960968,voice_control,2025-07-31T21:34:06.029Z,NATURAL_END_OF_TRACK,2025-07-31T21:37:48.029Z,2025-07-31T21:37:48.029Z,2025-07-31T21:34:06.029Z,222000,222000,222000,AUDIO,0,1,0,222000
2025-07-31T16:34:36.851Z,"Radio Station",N/A,"Def Leppard - Pour Some Sugar On Me",false,"United States",ra.1055200360,1440904267,voice_control,2025-07-31T16:34:36.851Z,PLAYBACK_MANUALLY_PAUSED,2025-07-31T16:37:59.851Z,2025-07-31T16:37:59.851Z,2025-07-31T16:34:36.851Z,203000,203000,267000,AUDIO,0,1,0,203000
2025-07-31T16:31:14.091Z,"Radio Station",N/A,"The Bangles - Walk Like an Egyptian",false,"United States",ra.1055200360,200008030,voice_control,2025-07-31T16:31:14.091Z,NATURAL_END_OF_TRACK,2025-07-31T16:34:37.091Z,2025-07-31T16:34:37.091Z,2025-07-31T16:31:14.091Z,203000,203000,203000,AUDIO,0,1,0,203000
2025-07-31T16:27:52.231Z,"Radio Station",N/A,"Falco - Rock Me Amadeus",false,"United States",ra.1055200360,289513197,voice_control,2025-07-31T16:27:52.231Z,NATURAL_END_OF_TRACK,2025-07-31T16:31:14.231Z,2025-07-31T16:31:14.231Z,2025-07-31T16:27:52.231Z,202000,202000,202000,AUDIO,0,1,0,202000
2025-07-31T16:23:44.966Z,"Radio Station",N/A,"Steve Winwood - Valerie",false,"United States",ra.1055200360,1440759400,voice_control,2025-07-31T16:23:44.966Z,NATURAL_END_OF_TRACK,2025-07-31T16:27:51.966Z,2025-07-31T16:27:51.966Z,2025-07-31T16:23:44.966Z,247000,247000,247000,AUDIO,0,1,0,247000
2025-07-31T16:18:14.930Z,"Radio Station",N/A,"Stevie Nicks - Edge of Seventeen",false,"United States",ra.1055200360,219393906,voice_control,2025-07-31T16:18:14.930Z,NATURAL_END_OF_TRACK,2025-07-31T16:23:44.930Z,2025-07-31T16:23:44.930Z,2025-07-31T16:18:14.930Z,330000,330000,330000,AUDIO,0,1,0,330000
2025-07-31T16:14:36.178Z,"Radio Station",N/A,"Prince - 1999 (Edit)",false,"United States",ra.1055200360,1545704091,voice_control,2025-07-31T16:14:36.178Z,NATURAL_END_OF_TRACK,2025-07-31T16:18:15.178Z,2025-07-31T16:18:15.178Z,2025-07-31T16:14:36.178Z,219000,219000,219000,AUDIO,0,1,0,219000
2025-07-31T16:10:09.219Z,"Radio Station",N/A,"Slick Rick & Doug E. Fresh - The Show",false,"United States",ra.1055200360,1452789775,voice_control,2025-07-31T16:10:09.219Z,NATURAL_END_OF_TRACK,2025-07-31T16:14:36.219Z,2025-07-31T16:14:36.219Z,2025-07-31T16:10:09.219Z,267000,267000,267000,AUDIO,0,1,0,267000
2025-07-31T16:06:27.598Z,"Radio Station",N/A,"The Clash - Rock the Casbah",false,"United States",ra.1055200360,685585942,voice_control,2025-07-31T16:06:27.598Z,NATURAL_END_OF_TRACK,2025-07-31T16:10:09.598Z,2025-07-31T16:10:09.598Z,2025-07-31T16:06:27.598Z,222000,222000,222000,AUDIO,0,1,0,222000
2025-07-31T16:02:33.373Z,"Radio Station",N/A,"Blondie - The Tide Is High",false,"United States",ra.1055200360,716261258,voice_control,2025-07-31T16:02:33.373Z,NATURAL_END_OF_TRACK,2025-07-31T16:06:27.373Z,2025-07-31T16:06:27.373Z,2025-07-31T16:02:33.373Z,234000,234000,234000,AUDIO,0,1,0,234000
2025-07-31T01:35:30.834Z,Album,"Tears for Fears - The Tipping Point","Tears for Fears - Rivers Of Mercy",false,"United States",1586912660,1586912666,"search / artist_detail / album_detail",2025-07-31T01:35:30.834Z,NATURAL_END_OF_TRACK,2025-07-31T01:41:32.586Z,2025-07-31T01:41:32.672Z,2025-07-31T01:35:30.834Z,368603,361752,361752,AUDIO,0,1,0,361752
2025-07-31T01:34:17.515Z,Album,"Tears for Fears - The Tipping Point","Tears for Fears - My Demons",false,"United States",1586912660,1586912665,"search / artist_detail / album_detail",2025-07-31T01:34:17.515Z,TRACK_SKIPPED_FORWARDS,2025-07-31T01:35:23.373Z,2025-07-31T01:35:23.665Z,2025-07-31T01:34:17.515Z,65858,65858,189043,AUDIO,0,1,1,65858
2025-07-31T01:33:18.087Z,Album,"Tears for Fears - The Tipping Point","Tears for Fears - Break The Man",false,"United States",1586912660,1586912664,"search / artist_detail / album_detail",2025-07-31T01:33:18.087Z,TRACK_SKIPPED_FORWARDS,2025-07-31T01:34:17.330Z,2025-07-31T01:34:17.463Z,2025-07-31T01:33:18.087Z,59243,59243,235656,AUDIO,0,1,1,59243
2025-07-31T01:28:48.279Z,Album,"Tears for Fears - The Tipping Point","Tears for Fears - Long, Long, Long Time",false,"United States",1586912660,1586912663,"search / artist_detail / album_detail",2025-07-31T01:28:48.279Z,NATURAL_END_OF_TRACK,2025-07-31T01:33:18.239Z,2025-07-31T01:33:18.325Z,2025-07-31T01:28:48.279Z,271756,269960,269960,AUDIO,0,1,0,269960
2025-07-31T01:24:35.382Z,Album,"Tears for Fears - The Tipping Point","Tears for Fears - The Tipping Point",false,"United States",1586912660,1586912662,"search / artist_detail / album_detail",2025-07-31T01:24:35.382Z,NATURAL_END_OF_TRACK,2025-07-31T01:28:46.592Z,2025-07-31T01:28:46.680Z,2025-07-31T01:24:35.382Z,253270,251210,251210,AUDIO,0,1,0,251210
